N,price,pages,size1,size2,size3,weight,year,volume,volume_price,weight_price,page_price,CoverType
800,488.0,134.0,1.2,15.3,21.6,280,2024.0,396.576,1.2305333656096182,1.7428571428571429,3.6417910447761193,1
801,489.0,188.0,1.4,15.5,21.5,340,2024.0,466.55,1.0481191726503054,1.438235294117647,2.601063829787234,0
802,507.0,150.0,1.3,15.3,21.6,264,2024.0,429.624,1.1801016702977487,1.9204545454545454,3.38,1
803,759.0,240.0,1.8,15.5,21.5,410,2024.0,599.85,1.2653163290822704,1.851219512195122,3.1625,0
804,829.0,290.0,2.0,15.5,21.5,470,2024.0,666.5,1.2438109527381846,1.7638297872340425,2.8586206896551722,0
805,829.0,240.0,1.4,13.5,20.6,294,2024.0,389.34,2.129244362254071,2.8197278911564627,3.4541666666666666,1
806,829.0,248.0,1.5,13.5,20.6,302,2024.0,417.15000000000003,1.9872947381037995,2.7450331125827816,3.342741935483871,1
807,869.0,348.0,1.9,12.0,17.2,290,2024.0,392.1599999999999,2.2159322725418202,2.996551724137931,2.4971264367816093,1
808,889.0,192.0,1.5,16.5,24.0,252,2024.0,594.0,1.4966329966329965,3.5277777777777777,4.630208333333333,0
809,919.0,128.0,1.0,13.5,20.5,220,2024.0,276.75,3.3206865401987353,4.177272727272728,7.1796875,1
810,919.0,352.0,2.4,13.5,20.5,450,2024.0,664.1999999999999,1.3836193917494732,2.042222222222222,2.6107954545454546,1
811,919.0,240.0,1.8,15.2,21.8,288,2024.0,596.448,1.540788132410537,3.1909722222222223,3.8291666666666666,1
812,939.0,222.0,1.7,15.5,21.5,390,2024.0,566.525,1.6574731918273686,2.4076923076923076,4.22972972972973,0
813,969.0,304.0,1.8,13.5,20.6,358,2024.0,500.58000000000004,1.9357545247512884,2.706703910614525,3.1875,1
814,770.0,400.0,2.3,13.5,20.6,436,2024.0,639.63,1.203820958991917,1.7660550458715596,1.925,1
815,716.0,144.0,1.1,15.5,21.8,260,2024.0,371.69000000000005,1.9263364631816833,2.753846153846154,4.972222222222222,1
816,1039.0,192.0,1.3,13.5,20.7,274,2024.0,363.285,2.8600134880328114,3.791970802919708,5.411458333333333,1
817,1149.0,560.0,3.0,13.5,20.7,568,2024.0,838.35,1.3705492932546073,2.022887323943662,2.0517857142857143,1
818,1199.0,384.0,3.1,14.5,21.3,360,2024.0,957.4350000000001,1.2523043339756745,3.3305555555555557,3.1223958333333335,0
819,976.0,326.0,2.0,15.3,21.7,508,2024.0,664.02,1.4698352459263275,1.921259842519685,2.9938650306748467,1
820,1359.0,256.0,1.5,14.5,21.6,360,2024.0,469.8,2.89272030651341,3.775,5.30859375,1
821,1138.0,320.0,2.2,16.2,21.0,10,2024.0,748.44,1.5204959649404093,113.8,3.55625,1
822,1519.0,622.0,3.3,13.5,20.7,636,2024.0,922.185,1.6471749160960112,2.388364779874214,2.442122186495177,1
823,1519.0,224.0,1.5,13.5,21.5,340,2024.0,435.375,3.488946310651737,4.4676470588235295,6.78125,0
824,1779.0,374.0,2.1,15.3,21.6,478,2024.0,694.0080000000002,2.5633710274233144,3.721757322175732,4.75668449197861,0
825,1779.0,374.0,2.1,14.0,20.0,434,2024.0,588.0,3.0255102040816326,4.099078341013825,4.75668449197861,2
826,3149.0,443.0,2.5,14.5,21.5,574,2024.0,779.375,4.0404170008019245,5.486062717770035,7.108352144469526,0
827,3149.0,437.0,2.5,14.5,21.5,562,2024.0,779.375,4.0404170008019245,5.603202846975089,7.205949656750572,0
828,5249.0,168.0,1.5,21.5,28.0,914,2024.0,903.0,5.812846068660022,5.7428884026258205,31.24404761904762,0
829,269.0,72.0,0.4,14.8,21.2,108,2023.0,125.50400000000002,2.1433579806221315,2.490740740740741,3.736111111111111,0
830,359.0,83.0,0.5,14.7,21.0,120,2023.0,154.35,2.3258827340459995,2.9916666666666667,4.325301204819277,0
831,359.0,91.0,0.5,14.4,21.0,110,2023.0,151.20000000000002,2.374338624338624,3.2636363636363637,3.9450549450549453,0
832,359.0,92.0,0.5,15.0,21.0,130,2023.0,157.5,2.2793650793650793,2.7615384615384615,3.902173913043478,0
833,379.0,104.0,1.0,13.5,20.7,220,2023.0,279.45,1.3562354625156559,1.7227272727272727,3.644230769230769,1
834,359.0,144.0,1.2,14.6,22.0,280,2023.0,385.44,0.9314030718140307,1.2821428571428573,2.4930555555555554,1
835,549.0,107.0,0.6,14.5,21.4,160,2023.0,186.17999999999998,2.9487592652271997,3.43125,5.130841121495327,0
836,679.0,236.0,1.7,14.5,21.0,370,2023.0,517.65,1.3116970926301557,1.835135135135135,2.8771186440677967,0
837,729.0,104.0,0.7,12.0,20.0,120,2023.0,167.99999999999997,4.339285714285715,6.075,7.009615384615385,0
838,627.0,234.0,1.0,14.8,21.0,250,2023.0,310.8,2.0173745173745172,2.508,2.6794871794871793,0
839,624.0,304.0,1.4,13.0,19.8,268,2023.0,360.36,1.7316017316017316,2.328358208955224,2.0526315789473686,0
840,919.0,260.0,1.5,11.5,16.5,202,2023.0,284.625,3.22880983750549,4.5495049504950495,3.5346153846153845,0
841,671.0,336.0,1.5,12.8,20.6,310,2023.0,395.5200000000001,1.6965008090614884,2.164516129032258,1.9970238095238095,0
842,1019.0,304.0,2.0,15.0,21.2,470,2023.0,636.0,1.6022012578616351,2.168085106382979,3.351973684210526,1
843,1149.0,560.0,2.5,13.5,20.5,568,2023.0,691.875,1.6607046070460705,2.022887323943662,2.0517857142857143,1
844,1249.0,432.0,2.0,13.5,20.7,450,2023.0,558.9,2.234746824118805,2.7755555555555556,2.8912037037037037,1
845,1249.0,112.0,0.7,13.0,20.0,160,2023.0,182.0,6.862637362637362,7.80625,11.151785714285714,0
846,1309.0,140.0,1.2,15.3,21.6,280,2023.0,396.576,3.3007544581618653,4.675,9.35,1
847,1359.0,944.0,4.0,14.5,21.6,1034,2023.0,1252.8000000000002,1.0847701149425286,1.31431334622824,1.4396186440677967,1
